,number,forename,surname,dob,nationality,points,wins,avgMillisecondsLap,pitStop,lapOfPitStop,timeOfPitStop,MillisecondsOfPitStop,startingPos,finalPos,totalLaps,timeToFinish,millisecondsToFinish,fastestLap,fastestLapRank,fastestLapTime,fastestLapSpeed,year,raceNumber,name,date,time,status,location,country,lat,lng,alt
12,19,Felipe,Massa,1981-04-25,Brazilian,6.0,0,94059.39655172414,2,31,17:52:28,24500,8,7,58,+1:25.186,5455445,55,1,1:28.947,214.631,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
13,19,Felipe,Massa,1981-04-25,Brazilian,6.0,0,94059.39655172414,3,48,18:18:54,24095,8,7,58,+1:25.186,5455445,55,1,1:28.947,214.631,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
14,\N,Mark,Webber,1976-08-27,Australian,10.0,0,93248.79310344828,1,11,17:20:48,23426,3,5,58,+38.171,5408430,50,3,1:29.600,213.066,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
15,\N,Mark,Webber,1976-08-27,Australian,10.0,0,93248.79310344828,2,26,17:44:29,22520,3,5,58,+38.171,5408430,50,3,1:29.600,213.066,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
16,\N,Mark,Webber,1976-08-27,Australian,10.0,0,93248.79310344828,3,41,18:07:37,26230,3,5,58,+38.171,5408430,50,3,1:29.600,213.066,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
17,22,Jenson,Button,1980-01-19,British,8.0,0,93526.94827586207,1,17,17:30:24,16867,4,6,58,+54.304,5424563,49,5,1:29.883,212.396,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
18,22,Jenson,Button,1980-01-19,British,8.0,0,93526.94827586207,2,19,17:33:53,23303,4,6,58,+54.304,5424563,49,5,1:29.883,212.396,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
19,22,Jenson,Button,1980-01-19,British,8.0,0,93526.94827586207,3,37,18:01:49,22681,4,6,58,+54.304,5424563,49,5,1:29.883,212.396,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
20,5,Sebastian,Vettel,1987-07-03,German,25.0,1,92590.6724137931,1,14,17:25:17,22603,1,1,58,1:29:30.259,5370259,44,4,1:29.844,212.488,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
21,5,Sebastian,Vettel,1987-07-03,German,25.0,1,92590.6724137931,2,36,17:59:17,24036,1,1,58,1:29:30.259,5370259,44,4,1:29.844,212.488,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
22,\N,Vitaly,Petrov,1984-09-08,Russian,15.0,0,93117.56896551725,1,16,17:28:39,24535,6,3,58,+30.560,5400819,55,7,1:30.064,211.969,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
23,\N,Vitaly,Petrov,1984-09-08,Russian,15.0,0,93117.56896551725,2,36,17:59:47,25683,6,3,58,+30.560,5400819,55,7,1:30.064,211.969,2011,1,Australian Grand Prix,2011-03-27,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
24,44,Lewis,Hamilton,1985-01-07,British,15.0,0,97476.55172413793,1,17,17:30:12,22862,1,3,58,+4.075,5653640,57,4,1:29.538,213.214,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
25,44,Lewis,Hamilton,1985-01-07,British,15.0,0,97476.55172413793,2,36,17:59:54,23464,1,3,58,+4.075,5653640,57,4,1:29.538,213.214,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
26,6,Nico,Rosberg,1985-06-27,German,0.0,0,98400.12068965517,1,12,17:22:31,23203,7,12,58,+57.642,5707207,53,14,1:30.931,209.948,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
27,6,Nico,Rosberg,1985-06-27,German,0.0,0,98400.12068965517,2,31,17:52:34,23017,7,12,58,+57.642,5707207,53,14,1:30.931,209.948,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
28,14,Fernando,Alonso,1981-07-29,Spanish,10.0,0,97778.10344827586,1,13,17:24:04,22035,12,5,58,+21.565,5671130,52,7,1:30.277,211.469,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
29,14,Fernando,Alonso,1981-07-29,Spanish,10.0,0,97778.10344827586,2,34,17:57:06,21910,12,5,58,+21.565,5671130,52,7,1:30.277,211.469,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
30,7,Kimi,Räikkönen,1979-10-17,Finnish,6.0,0,98061.70689655172,1,19,17:33:43,24881,17,7,58,+38.014,5687579,50,11,1:30.759,210.346,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
31,7,Kimi,Räikkönen,1979-10-17,Finnish,6.0,0,98061.70689655172,2,37,18:02:13,23310,17,7,58,+38.014,5687579,50,11,1:30.759,210.346,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
32,\N,Mark,Webber,1976-08-27,Australian,12.0,0,97484.68965517242,1,14,17:25:41,23302,5,4,58,+4.547,5654112,57,3,1:29.438,213.452,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
33,\N,Mark,Webber,1976-08-27,Australian,12.0,0,97484.68965517242,2,37,18:01:58,22915,5,4,58,+4.547,5654112,57,3,1:29.438,213.452,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
34,22,Jenson,Button,1980-01-19,British,25.0,1,97406.29310344828,1,16,17:28:30,23275,2,1,58,1:34:09.565,5649565,56,1,1:29.187,214.053,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
35,22,Jenson,Button,1980-01-19,British,25.0,1,97406.29310344828,2,36,17:59:44,22837,2,1,58,1:34:09.565,5649565,56,1,1:29.187,214.053,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
36,5,Sebastian,Vettel,1987-07-03,German,18.0,0,97443.1724137931,1,16,17:28:41,24256,6,2,58,+2.139,5651704,57,2,1:29.417,213.503,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
37,5,Sebastian,Vettel,1987-07-03,German,18.0,0,97443.1724137931,2,37,18:01:36,24131,6,2,58,+2.139,5651704,57,2,1:29.417,213.503,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
38,10,Kamui,Kobayashi,1986-09-13,Japanese,8.0,0,98040.18965517242,1,13,17:24:20,25346,13,6,58,+36.766,5686331,55,10,1:30.620,210.668,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
39,10,Kamui,Kobayashi,1986-09-13,Japanese,8.0,0,98040.18965517242,2,36,18:00:33,24162,13,6,58,+36.766,5686331,55,10,1:30.620,210.668,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
40,\N,Paul,di Resta,1986-04-16,British,1.0,0,98091.41379310345,1,13,17:24:21,24933,15,10,58,+39.737,5689302,57,9,1:30.605,210.703,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
41,\N,Paul,di Resta,1986-04-16,British,1.0,0,98091.41379310345,2,33,17:55:58,24579,15,10,58,+39.737,5689302,57,9,1:30.605,210.703,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
42,11,Sergio,Pérez,1990-01-26,Mexican,4.0,0,98086.60344827586,1,24,17:41:45,23882,22,8,58,+39.458,5689023,46,12,1:30.843,210.151,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
43,3,Daniel,Ricciardo,1989-07-01,Australian,2.0,0,98088.29310344828,1,1,17:05:35,32319,10,9,58,+39.556,5689121,53,8,1:30.592,210.733,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
44,3,Daniel,Ricciardo,1989-07-01,Australian,2.0,0,98088.29310344828,2,22,17:39:23,23257,10,9,58,+39.556,5689121,53,8,1:30.592,210.733,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
45,3,Daniel,Ricciardo,1989-07-01,Australian,2.0,0,98088.29310344828,3,38,18:05:15,24348,10,9,58,+39.556,5689121,53,8,1:30.592,210.733,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
46,25,Jean-Éric,Vergne,1990-04-25,French,0.0,0,98093.3275862069,1,19,17:33:54,23203,11,11,58,+39.848,5689413,52,6,1:30.274,211.476,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
47,25,Jean-Éric,Vergne,1990-04-25,French,0.0,0,98093.3275862069,2,37,18:02:41,23569,11,11,58,+39.848,5689413,52,6,1:30.274,211.476,2012,1,Australian Grand Prix,2012-03-18,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
48,44,Lewis,Hamilton,1985-01-07,British,10.0,0,93944.58620689655,1,13,17:23:56,22155,3,5,58,+45.561,5448786,45,5,1:29.759,212.689,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
49,44,Lewis,Hamilton,1985-01-07,British,10.0,0,93944.58620689655,2,31,17:52:21,22015,3,5,58,+45.561,5448786,45,5,1:29.759,212.689,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
50,44,Lewis,Hamilton,1985-01-07,British,10.0,0,93944.58620689655,3,42,18:09:35,21778,3,5,58,+45.561,5448786,45,5,1:29.759,212.689,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
51,14,Fernando,Alonso,1981-07-29,Spanish,18.0,0,93373.72413793103,1,9,17:17:35,21792,5,2,58,+12.451,5415676,53,3,1:29.560,213.162,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
52,14,Fernando,Alonso,1981-07-29,Spanish,18.0,0,93373.72413793103,2,20,17:35:01,21606,5,2,58,+12.451,5415676,53,3,1:29.560,213.162,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
53,14,Fernando,Alonso,1981-07-29,Spanish,18.0,0,93373.72413793103,3,39,18:04:29,21704,5,2,58,+12.451,5415676,53,3,1:29.560,213.162,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
54,7,Kimi,Räikkönen,1979-10-17,Finnish,25.0,1,93159.05172413793,1,9,17:17:36,22709,7,1,58,1:30:03.225,5403225,56,1,1:29.274,213.845,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
55,7,Kimi,Räikkönen,1979-10-17,Finnish,25.0,1,93159.05172413793,2,34,17:56:41,22181,7,1,58,1:30:03.225,5403225,56,1,1:29.274,213.845,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
56,19,Felipe,Massa,1981-04-25,Brazilian,12.0,0,93737.96551724138,1,8,17:16:00,21754,4,4,58,+33.577,5436802,38,8,1:30.239,211.558,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
57,19,Felipe,Massa,1981-04-25,Brazilian,12.0,0,93737.96551724138,2,23,17:39:40,21511,4,4,58,+33.577,5436802,38,8,1:30.239,211.558,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
58,19,Felipe,Massa,1981-04-25,Brazilian,12.0,0,93737.96551724138,3,36,18:00:04,21509,4,4,58,+33.577,5436802,38,8,1:30.239,211.558,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
59,99,Adrian,Sutil,1983-01-11,German,6.0,0,94280.91379310345,1,21,17:36:31,22693,12,7,58,+1:05.068,5468293,49,13,1:30.710,210.459,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
60,99,Adrian,Sutil,1983-01-11,German,6.0,0,94280.91379310345,2,46,18:15:28,22749,12,7,58,+1:05.068,5468293,49,13,1:30.710,210.459,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
61,\N,Mark,Webber,1976-08-27,Australian,8.0,0,93965.94827586207,1,5,17:11:28,24240,2,6,58,+46.800,5450025,45,4,1:29.732,212.753,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
62,\N,Mark,Webber,1976-08-27,Australian,8.0,0,93965.94827586207,2,18,17:32:17,21717,2,6,58,+46.800,5450025,45,4,1:29.732,212.753,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
63,\N,Mark,Webber,1976-08-27,Australian,8.0,0,93965.94827586207,3,38,18:03:34,21515,2,6,58,+46.800,5450025,45,4,1:29.732,212.753,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
64,22,Jenson,Button,1980-01-19,British,2.0,0,94566.46551724138,1,4,17:09:54,22282,10,9,58,+1:21.630,5484855,41,7,1:30.198,211.654,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
65,22,Jenson,Button,1980-01-19,British,2.0,0,94566.46551724138,2,20,17:35:24,23571,10,9,58,+1:21.630,5484855,41,7,1:30.198,211.654,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
66,22,Jenson,Button,1980-01-19,British,2.0,0,94566.46551724138,3,37,18:02:18,21538,10,9,58,+1:21.630,5484855,41,7,1:30.198,211.654,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
67,5,Sebastian,Vettel,1987-07-03,German,15.0,0,93544.3275862069,1,7,17:14:25,21807,1,3,58,+22.346,5425571,42,10,1:30.409,211.160,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
68,5,Sebastian,Vettel,1987-07-03,German,15.0,0,93544.3275862069,2,21,17:36:32,22704,1,3,58,+22.346,5425571,42,10,1:30.409,211.160,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
69,5,Sebastian,Vettel,1987-07-03,German,15.0,0,93544.3275862069,3,37,18:01:32,21596,1,3,58,+22.346,5425571,42,10,1:30.409,211.160,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
70,8,Romain,Grosjean,1986-04-17,French,1.0,0,94585.93103448275,1,5,17:11:33,22239,8,10,58,+1:22.759,5485984,41,9,1:30.395,211.193,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
71,8,Romain,Grosjean,1986-04-17,French,1.0,0,94585.93103448275,2,19,17:33:53,22133,8,10,58,+1:22.759,5485984,41,9,1:30.395,211.193,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
72,8,Romain,Grosjean,1986-04-17,French,1.0,0,94585.93103448275,3,37,18:02:19,22534,8,10,58,+1:22.759,5485984,41,9,1:30.395,211.193,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
73,\N,Paul,di Resta,1986-04-16,British,4.0,0,94339.20689655172,1,8,17:16:13,23010,9,8,58,+1:08.449,5471674,56,15,1:30.894,210.033,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
74,\N,Paul,di Resta,1986-04-16,British,4.0,0,94339.20689655172,2,33,17:55:48,23051,9,8,58,+1:08.449,5471674,56,15,1:30.894,210.033,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
75,11,Sergio,Pérez,1990-01-26,Mexican,0.0,0,94596.41379310345,1,16,17:29:00,23677,15,11,58,+1:23.367,5486592,46,6,1:29.926,212.294,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
76,11,Sergio,Pérez,1990-01-26,Mexican,0.0,0,94596.41379310345,2,23,17:40:25,22004,15,11,58,+1:23.367,5486592,46,6,1:29.926,212.294,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
77,11,Sergio,Pérez,1990-01-26,Mexican,0.0,0,94596.41379310345,3,41,18:08:37,21705,15,11,58,+1:23.367,5486592,46,6,1:29.926,212.294,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
78,25,Jean-Éric,Vergne,1990-04-25,French,0.0,0,94604.86206896552,1,9,17:17:54,23074,13,12,58,+1:23.857,5487082,50,2,1:29.498,213.309,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
79,25,Jean-Éric,Vergne,1990-04-25,French,0.0,0,94604.86206896552,2,24,17:41:44,24688,13,12,58,+1:23.857,5487082,50,2,1:29.498,213.309,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
80,25,Jean-Éric,Vergne,1990-04-25,French,0.0,0,94604.86206896552,3,44,18:13:03,23160,13,12,58,+1:23.857,5487082,50,2,1:29.498,213.309,2013,1,Australian Grand Prix,2013-03-17,06:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
81,44,Lewis,Hamilton,1985-01-07,British,25.0,1,95070.12068965517,1,25,16:44:32,22295,1,1,58,1:31:54.067,5514067,50,1,1:30.945,209.915,2015,1,Australian Grand Prix,2015-03-15,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
82,6,Nico,Rosberg,1985-06-27,German,18.0,0,95093.56896551725,1,26,16:46:11,22105,2,2,58,+1.360,5515427,47,2,1:31.092,209.577,2015,1,Australian Grand Prix,2015-03-15,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
83,19,Felipe,Massa,1981-04-25,Brazilian,12.0,0,95728.6724137931,1,21,16:38:38,22062,3,4,58,+38.196,5552263,50,6,1:31.719,208.144,2015,1,Australian Grand Prix,2015-03-15,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
84,5,Sebastian,Vettel,1987-07-03,German,15.0,0,95665.3448275862,1,24,16:43:16,22694,4,3,58,+34.523,5548590,52,4,1:31.457,208.740,2015,1,Australian Grand Prix,2015-03-15,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
85,12,Felipe,Nasr,1992-08-21,Brazilian,10.0,0,96710.62068965517,1,25,16:45:12,22933,10,5,58,+1:35.149,5609216,46,9,1:32.612,206.137,2015,1,Australian Grand Prix,2015-03-15,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
86,44,Lewis,Hamilton,1985-01-07,British,18.0,0,114098.68421052632,1,16,16:32:16,21940,1,2,57,+8.060,6503625,48,4,1:30.646,210.608,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
87,44,Lewis,Hamilton,1985-01-07,British,18.0,0,114098.68421052632,2,18,16:37:09,1090087,1,2,57,+8.060,6503625,48,4,1:30.646,210.608,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
88,6,Nico,Rosberg,1985-06-27,German,25.0,1,113957.28070175438,1,12,16:25:48,21531,2,1,57,1:48:15.565,6495565,21,3,1:30.557,210.815,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
89,6,Nico,Rosberg,1985-06-27,German,25.0,1,113957.28070175438,2,18,16:36:58,1089303,2,1,57,1:48:15.565,6495565,21,3,1:30.557,210.815,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
90,19,Felipe,Massa,1981-04-25,Brazilian,10.0,0,114992.0,1,11,16:24:32,21550,6,5,57,+58.979,6554544,39,9,1:32.288,206.861,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
91,19,Felipe,Massa,1981-04-25,Brazilian,10.0,0,114992.0,2,18,16:37:10,1089805,6,5,57,+58.979,6554544,39,9,1:32.288,206.861,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
92,5,Sebastian,Vettel,1987-07-03,German,15.0,0,114126.45614035087,1,13,16:27:17,21339,3,3,57,+9.643,6505208,23,2,1:29.951,212.235,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
93,5,Sebastian,Vettel,1987-07-03,German,15.0,0,114126.45614035087,2,18,16:36:56,1089312,3,3,57,+9.643,6505208,23,2,1:29.951,212.235,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
94,5,Sebastian,Vettel,1987-07-03,German,15.0,0,114126.45614035087,3,35,17:21:50,24548,3,3,57,+9.643,6505208,23,2,1:29.951,212.235,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
95,8,Romain,Grosjean,1986-04-17,French,8.0,0,115221.85964912281,1,18,16:37:12,1089417,19,6,57,+1:12.081,6567646,48,17,1:32.862,205.582,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
96,27,Nico,Hülkenberg,1987-08-19,German,6.0,0,115259.01754385965,1,16,16:32:30,22167,10,7,57,+1:14.199,6569764,49,16,1:32.833,205.646,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
97,27,Nico,Hülkenberg,1987-08-19,German,6.0,0,115259.01754385965,2,18,16:37:14,1089155,10,7,57,+1:14.199,6569764,49,16,1:32.833,205.646,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
98,11,Sergio,Pérez,1990-01-26,Mexican,0.0,0,115566.0350877193,1,16,16:32:37,24719,9,13,57,+1:31.699,6587264,39,15,1:32.780,205.764,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
99,11,Sergio,Pérez,1990-01-26,Mexican,0.0,0,115566.0350877193,2,18,16:37:21,1087311,9,13,57,+1:31.699,6587264,39,15,1:32.780,205.764,2016,1,Australian Grand Prix,2016-03-20,05:00:00,Finished,Melbourne,Australia,-37.8497,144.968,10
